provider,arm,probe_type,event,probe_id,rep,delay_s,prefix_tokens_target,t_iso,cache_creation,cache_read,input_tokens,latency_ms,est_cost_usd,note
openai,openai-inmem,ttl,write,openai-inmem-d120-r1,1,120,4832,2026-07-06T16:54:52+00:00,0,0,4846,619.9,0.002908,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d240-r1,1,240,4832,2026-07-06T16:54:55+00:00,4833,0,7,897.0,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d240-r1,1,240,4832,2026-07-06T16:54:57+00:00,0,0,4842,1068.0,0.002905,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d240-r1,1,240,4832,2026-07-06T16:54:59+00:00,4834,0,7,902.5,0.009675,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d240-r1,1,240,4832,2026-07-06T16:55:00+00:00,0,0,4844,527.6,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d285-r1,1,285,4832,2026-07-06T16:55:03+00:00,4835,0,7,783.2,0.006051,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d285-r1,1,285,4832,2026-07-06T16:55:05+00:00,0,0,4844,1159.4,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d285-r1,1,285,4832,2026-07-06T16:55:08+00:00,4832,0,7,1760.0,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d285-r1,1,285,4832,2026-07-06T16:55:08+00:00,0,0,4843,569.7,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,read,anthropic-5m-d30-r1,1,30,4832,2026-07-06T16:55:09+00:00,0,4834,7,914.2,0.000490,d_act=30.1
openai,openai-24h,ttl,read,openai-24h-d30-r1,1,30,4832,2026-07-06T16:55:10+00:00,0,4736,4845,582.1,0.001486,d_act=30.1
anthropic,anthropic-5m,ttl,read,anthropic-5m-d120-r0,0,120,4832,2026-07-06T16:55:10+00:00,0,4835,7,635.8,0.000491,d_act=119.4
anthropic,anthropic-5m,ttl,write,anthropic-5m-d315-r1,1,315,4832,2026-07-06T16:55:11+00:00,4833,0,7,1473.8,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,read,openai-24h-d120-r0,0,120,4832,2026-07-06T16:55:13+00:00,0,4736,4846,796.0,0.001487,d_act=119.9
openai,openai-24h,ttl,write,openai-24h-d315-r1,1,315,4832,2026-07-06T16:55:13+00:00,0,0,4845,909.5,0.002907,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,read,anthropic-1h-d30-r1,1,30,4832,2026-07-06T16:55:13+00:00,0,4835,7,1261.5,0.000491,d_act=30.4
openai,openai-inmem,ttl,read,openai-inmem-d30-r1,1,30,4832,2026-07-06T16:55:14+00:00,0,4736,4845,686.1,0.001486,d_act=30.2
anthropic,anthropic-1h,ttl,read,anthropic-1h-d120-r0,0,120,4832,2026-07-06T16:55:15+00:00,0,4832,7,1062.0,0.000490,d_act=120.2
anthropic,anthropic-1h,ttl,write,anthropic-1h-d315-r1,1,315,4832,2026-07-06T16:55:15+00:00,4832,0,7,1323.5,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,read,openai-inmem-d120-r0,0,120,4832,2026-07-06T16:55:16+00:00,0,4736,4845,467.3,0.001486,d_act=119.9
openai,openai-inmem,ttl,write,openai-inmem-d315-r1,1,315,4832,2026-07-06T16:55:17+00:00,0,0,4844,1053.5,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d360-r1,1,360,4832,2026-07-06T16:55:19+00:00,4834,0,7,714.2,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d360-r1,1,360,4832,2026-07-06T16:55:21+00:00,0,0,4846,932.3,0.002908,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d360-r1,1,360,4832,2026-07-06T16:55:23+00:00,4832,0,7,1078.4,0.009671,model=claude-haiku-4-5-20251001
anthropic,anthropic-5m,ttl,write,anthropic-5m-d480-r1,1,480,4832,2026-07-06T16:55:27+00:00,4834,0,7,826.5,0.006050,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d360-r1,1,360,4832,2026-07-06T16:55:27+00:00,0,0,4844,2896.8,0.002906,model=gpt-4o-mini
openai,openai-24h,ttl,write,openai-24h-d480-r1,1,480,4832,2026-07-06T16:55:28+00:00,0,0,4844,503.3,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d480-r1,1,480,4832,2026-07-06T16:55:31+00:00,4835,0,7,823.8,0.009677,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d480-r1,1,480,4832,2026-07-06T16:55:32+00:00,0,0,4845,494.6,0.002907,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d720-r1,1,720,4832,2026-07-06T16:55:35+00:00,4834,0,7,746.8,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d720-r1,1,720,4832,2026-07-06T16:55:37+00:00,0,0,4844,1133.1,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d720-r1,1,720,4832,2026-07-06T16:55:39+00:00,4832,0,7,801.1,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d720-r1,1,720,4832,2026-07-06T16:55:40+00:00,0,0,4841,549.3,0.002905,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d1200-r1,1,1200,4832,2026-07-06T16:55:43+00:00,4832,0,7,1017.1,0.006047,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d1200-r1,1,1200,4832,2026-07-06T16:55:44+00:00,0,0,4844,657.8,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d1200-r1,1,1200,4832,2026-07-06T16:55:46+00:00,4834,0,7,633.8,0.009675,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d1200-r1,1,1200,4832,2026-07-06T16:55:48+00:00,0,0,4847,547.7,0.002908,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d2400-r1,1,2400,4832,2026-07-06T16:55:51+00:00,4834,0,7,752.0,0.006050,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d2400-r1,1,2400,4832,2026-07-06T16:55:53+00:00,0,0,4841,916.7,0.002905,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d2400-r1,1,2400,4832,2026-07-06T16:55:55+00:00,4832,0,7,744.5,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d2400-r1,1,2400,4832,2026-07-06T16:55:56+00:00,0,0,4843,540.0,0.002906,model=gpt-4o-mini
