column,seed_idx,job,jct_ours_s,jct_lru_s,delta_pct
tracelab,0,0,1584.23,1618.89,2.14
tracelab,0,1,169.14,132.79,-27.37
tracelab,0,2,1339.42,1400.94,4.39
tracelab,0,3,1624.46,1660.84,2.19
tracelab,0,4,55.02,60.82,9.54
tracelab,0,5,208.85,248.52,15.96
tracelab,0,6,187.56,230.01,18.46
tracelab,0,7,1099.69,1147.56,4.17
tracelab,0,8,468.96,446.79,-4.96
tracelab,0,9,740.92,820.87,9.74
tracelab,0,10,823.9,911.05,9.57
tracelab,0,11,928.18,967.9,4.1
tracelab,0,12,957.94,1068.87,10.38
tracelab,0,13,464.96,517.24,10.11
tracelab,0,14,360.92,349.71,-3.2
tracelab,0,15,1003.92,1022.67,1.83
tracelab,0,16,1331.75,1386.54,3.95
tracelab,0,17,1239.93,1266.83,2.12
tracelab,0,18,1578.95,1622.94,2.71
tracelab,0,19,690.51,729.44,5.34
tracelab,0,20,1040.48,1070.56,2.81
tracelab,0,21,758.12,746.58,-1.55
tracelab,0,22,675.75,707.53,4.49
tracelab,0,23,689.45,705.9,2.33
tracelab,0,24,762.57,806.19,5.41
tracelab,0,25,1522.88,1565.5,2.72
tracelab,0,26,1052.33,1061.46,0.86
tracelab,0,27,771.46,793.3,2.75
tracelab,0,28,761.11,790.94,3.77
